origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0289,5439173134,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0290,5439173143,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0292,5439173212,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0293,5439173213,1,1,1.0,0,0,,1,1,1.0,0.0,0.25,
origin_0294,5439173214,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.25,0.0
origin_0295,5439173221,2,2,1.0,0,0,,2,2,1.0,0.0,0.0,
origin_0298,5439173244,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.285714,0.0
origin_0299,5439173324,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0300,5439173331,1,1,1.0,0,0,,1,1,1.0,0.0,0.25,
origin_0301,5439173333,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0302,5439173341,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0303,5439173342,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0304,5439173343,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0305,5439173344,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.333333,0.0
origin_0306,5439173411,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0307,5439173523,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0308,5439173524,4,3,0.75,1,1,1.0,5,4,0.8,0.2,0.272727,0.25
origin_0309,5439173534,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0310,5439173543,2,2,1.0,0,0,,2,2,1.0,0.0,0.0,
origin_0311,5439173544,11,11,1.0,2,2,1.0,13,13,1.0,0.153846,0.172414,0.0
origin_0312,5439173612,8,8,1.0,2,2,1.0,10,10,1.0,0.2,0.173913,0.0
origin_0313,5439173613,5,5,1.0,1,1,1.0,6,6,1.0,0.166667,0.142857,0.0
origin_0314,5439173614,6,6,1.0,2,2,1.0,8,8,1.0,0.25,0.263158,0.0
origin_0315,5439173622,8,8,1.0,2,2,1.0,10,10,1.0,0.2,0.208333,0.0
origin_0316,5439173623,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.2,0.0
origin_0317,5439173624,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0318,5439173631,4,3,0.75,1,1,1.0,5,4,0.8,0.2,0.2,0.25
origin_0319,5439173632,5,5,1.0,2,2,1.0,7,7,1.0,0.285714,0.235294,0.0
origin_0320,5439173633,6,6,1.0,2,2,1.0,8,8,1.0,0.25,0.235294,0.0
origin_0321,5439173641,2,2,1.0,1,0,0.0,3,2,0.666667,0.333333,0.285714,-1.0
origin_0322,5439173744,6,6,1.0,5,5,1.0,11,11,1.0,0.454545,0.44,0.0
origin_0323,5439173812,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0324,5439173814,13,13,1.0,2,2,1.0,15,15,1.0,0.133333,0.117647,0.0
origin_0325,5439173821,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0327,5439173831,5,5,1.0,2,2,1.0,7,7,1.0,0.285714,0.25,0.0
origin_0328,5439173832,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
